iter	Passed	Remaining
401	15903	23658
402	15937	23609
403	15972	23563
404	16003	23510
405	16039	23466
406	16075	23421
407	16110	23375
408	16143	23327
409	16180	23283
410	16219	23244
411	16253	23197
412	16283	23143
413	16321	23102
414	16357	23058
415	16397	23019
416	16437	22980
417	16473	22936
418	16510	22893
419	16550	22854
420	16585	22809
421	16620	22764
422	16659	22725
423	16695	22680
424	16730	22635
425	16772	22599
426	16811	22560
427	16845	22513
428	16881	22468
429	16914	22421
430	16949	22376
431	16980	22326
432	17018	22284
433	17052	22238
434	17086	22193
435	17121	22148
436	17159	22107
437	17196	22065
438	17234	22024
439	17275	21987
440	17314	21947
441	17349	21902
442	17384	21857
443	17419	21813
444	17458	21774
445	17498	21736
446	17535	21693
447	17566	21645
448	17604	21603
449	17643	21564
450	17685	21527
451	17723	21488
452	17764	21451
453	17810	21419
454	17860	21392
455	17902	21357
456	17942	21319
457	17983	21282
458	18022	21242
459	18064	21206
460	18101	21163
461	18139	21123
462	18175	21080
463	18212	21038
464	18247	20994
465	18289	20958
466	18327	20917
467	18366	20878
468	18402	20834
469	18437	20790
470	18469	20743
471	18502	20698
472	18539	20656
473	18580	20619
474	18619	20579
475	18663	20545
476	18699	20502
477	18739	20464
478	18778	20424
479	18813	20381
480	18850	20340
481	18894	20305
482	18947	20281
483	18984	20240
484	19021	20198
485	19061	20159
486	19100	20120
487	19135	20076
488	19170	20032
489	19210	19994
490	19246	19951
491	19283	19910
492	19319	19868
493	19352	19822
494	19391	19783
495	19423	19736
496	19458	19693
497	19497	19654
498	19535	19613
499	19573	19573
500	19609	19531
501	19646	19490
502	19681	19447
503	19720	19407
504	19758	19367
505	19798	19329
506	19834	19286
507	19869	19243
508	19908	19204
509	19945	19163
510	19979	19119
511	20013	19075
512	20051	19034
513	20089	18994
514	20121	18949
515	20153	18903
516	20194	18866
517	20230	18824
518	20272	18787
519	20305	18743
520	20339	18699
521	20371	18654
522	20409	18614
523	20444	18571
524	20483	18532
525	20514	18486
526	20555	18449
527	20595	18410
528	20635	18372
529	20675	18334
530	20716	18297
531	20756	18259
532	20794	18219
533	20831	18178
534	20868	18138
535	20906	18098
536	20946	18059
537	20983	18019
538	21021	17979
539	21061	17941
540	21097	17899
541	21131	17856
542	21170	17817
543	21212	17781
544	21249	17740
545	21291	17704
546	21332	17666
547	21367	17624
548	21412	17589
549	21456	17555
550	21498	17518
551	21536	17479
552	21587	17449
553	21636	17418
554	21669	17374
555	21703	17331
556	21744	17293
557	21780	17252
558	21820	17214
559	21853	17170
560	21889	17129
561	21924	17087
562	21960	17045
563	22000	17007
564	22039	16968
565	22077	16928
566	22116	16890
567	22155	16850
568	22199	16815
569	22233	16772
570	22266	16729
571	22303	16688
572	22336	16644
573	22368	16601
574	22418	16569
575	22465	16536
576	22501	16496
577	22540	16457
578	22586	16423
579	22651	16402
580	22702	16372
581	22746	16336
582	22787	16299
583	22827	16260
584	22873	16226
585	22913	16187
586	22954	16150
587	22998	16114
588	23043	16079
589	23088	16044
590	23124	16003
591	23174	15971
592	23228	15942
593	23283	15914
594	23336	15884
595	23378	15847
596	23416	15807
597	23452	15765
598	23486	15723
599	23523	15682
600	23561	15642
601	23601	15603
602	23643	15565
603	23680	15525
604	23718	15485
605	23761	15448
606	23803	15411
607	23840	15370
608	23872	15326
609	23913	15288
610	23957	15252
611	23997	15214
612	24041	15178
613	24094	15147
614	24140	15112
615	24186	15077
616	24227	15039
617	24273	15004
618	24324	14972
619	24366	14934
620	24406	14895
621	24447	14857
622	24489	14819
623	24529	14780
624	24569	14741
625	24611	14703
626	24656	14668
627	24693	14627
628	24727	14584
629	24763	14543
630	24804	14505
631	24843	14465
