iter	MultiClass
360	0.8420670552
361	0.8419084929
362	0.8418286134
363	0.8417792576
364	0.8416649921
365	0.8415166533
366	0.8413991604
367	0.8413016376
368	0.8411151972
369	0.8409717656
370	0.8408087338
371	0.8406607687
372	0.8405200508
373	0.8404544494
374	0.8402861128
375	0.8401811434
376	0.8398277637
377	0.8396658887
378	0.8395965809
379	0.839488024
380	0.8394006308
381	0.839221421
382	0.8391073664
383	0.8389829737
384	0.8388955371
385	0.8387935604
386	0.838733644
387	0.8386131518
388	0.8384632736
389	0.8383662568
390	0.8382770491
391	0.838113092
392	0.8380040143
393	0.8378974727
394	0.8377144346
395	0.8375951829
396	0.8374240416
397	0.8373051119
398	0.8372276238
399	0.837130949
400	0.8370331348
401	0.8369118777
402	0.8368272985
403	0.8367102454
404	0.8366194467
405	0.8365257305
406	0.8364453131
407	0.8363101529
408	0.8362419938
409	0.8361195717
410	0.8359589837
411	0.8358630423
412	0.8358110166
413	0.8357279553
414	0.8356508817
415	0.8355465323
416	0.8354107888
417	0.835360435
418	0.8352941937
419	0.8351311089
420	0.8350312719
421	0.8349520165
422	0.8348641606
423	0.8347978341
424	0.8346806467
425	0.8345566205
426	0.834416004
427	0.8343669194
428	0.8343014258
429	0.8342319924
430	0.8340493718
431	0.833901933
432	0.8337895801
433	0.8337295292
434	0.8336628607
435	0.8335748913
436	0.8334906358
437	0.8333868745
438	0.8332245168
439	0.8331351841
440	0.8329632682
441	0.8329067628
442	0.8327795448
443	0.8327241149
444	0.8326171077
445	0.8324694276
446	0.8324190053
447	0.832307711
448	0.8321839742
449	0.8320604065
450	0.8319480905
451	0.8318078109
452	0.8316787534
453	0.8316047439
454	0.831542209
455	0.8314303456
456	0.8313579377
457	0.8312670964
458	0.8311621786
459	0.8309950242
460	0.8309138573
461	0.8308154397
462	0.8306956995
463	0.8306075031
464	0.8305400947
465	0.8304147055
466	0.8303699851
467	0.8303040017
468	0.8302557946
469	0.8302067984
470	0.8300808356
471	0.8298780564
472	0.8298246834
473	0.8297131695
474	0.8296390094
475	0.8294863516
476	0.8294138153
477	0.8293474555
478	0.8292004229
479	0.8290435775
480	0.8289713538
481	0.8288773605
482	0.8287759243
483	0.8287348742
484	0.8286469494
485	0.8285409809
486	0.8284060106
487	0.8283133437
488	0.8281904444
489	0.8281235838
490	0.8280265096
491	0.8278902988
492	0.8277821209
493	0.8277298869
494	0.8275702831
495	0.827507942
496	0.8273660819
497	0.827282885
498	0.8272148698
499	0.8271628481
500	0.8270810621
501	0.8270065149
502	0.8268913515
503	0.8268146163
504	0.8267231154
505	0.8265582288
506	0.8264759735
507	0.8263710642
508	0.8262632329
509	0.8262051786
510	0.8261356284
511	0.8260597169
512	0.8259871119
513	0.8259070266
514	0.8258366947
515	0.8257520908
516	0.8255493653
517	0.8254941983
518	0.8254050762
519	0.8252509411
520	0.8251492797
521	0.8250530886
522	0.8249624236
523	0.8248790194
524	0.8248162715
525	0.8246797905
526	0.8246143495
527	0.8245378706
528	0.8244186038
529	0.8243356274
530	0.8242635141
531	0.8241987445
532	0.8241212647
533	0.8240144845
534	0.8239723767
535	0.8238730724
536	0.8237826435
537	0.8237273278
538	0.8236358868
539	0.8235081879
540	0.8233759249
541	0.8231642723
542	0.8230521745
543	0.8229665892
544	0.8228780223
545	0.82280693
546	0.8226534033
547	0.82256404
548	0.8223748755
549	0.8222779304
550	0.8222014564
551	0.822155199
552	0.822039928
553	0.8219242163
554	0.8217567949
555	0.8215546142
556	0.8214668551
557	0.8214080975
558	0.82129595
559	0.8211932984
560	0.8211000116
561	0.8209585897
562	0.8208864096
563	0.8207760158
564	0.8207027713
565	0.8206548328
566	0.8205256833
567	0.8204100822
568	0.820309374
569	0.8202346914
570	0.8201344816
571	0.8200636808
572	0.8199526052
573	0.8198111927
574	0.8197080684
575	0.8196215941
576	0.8195009944
577	0.8194297148
578	0.8192890648
579	0.8192437679
580	0.8191354817
581	0.8190315813
582	0.8189148205
583	0.8188685128
584	0.8188371094
585	0.8186319371
586	0.8185409637
587	0.8183522062
588	0.8182768912
589	0.8181887156
590	0.8181618101
591	0.8181259866
592	0.8180730544
593	0.8179992903
594	0.8179417593
595	0.8178536552
596	0.817821639
597	0.8177613414
598	0.8176738103
599	0.8175313028
600	0.8174059022
601	0.8173412037
602	0.81727547
603	0.8171790563
604	0.817011558
605	0.8169518298
606	0.8168718254
607	0.8168112605
608	0.816747858
609	0.8166450591
610	0.816594594
611	0.8165132868
612	0.8163882263
613	0.8162931771
614	0.8162473075
615	0.8161420633
616	0.8161011713
617	0.816003822
618	0.815946396
619	0.8158471008
620	0.8157219558
621	0.8156285128
622	0.8155607677
623	0.8155004149
624	0.815440825
625	0.8153719549
626	0.8153122163
627	0.8152204193
628	0.8151233636
629	0.8150444155
630	0.8149833384
631	0.8148755239
632	0.8147916964
633	0.8146957441
634	0.8145527862
635	0.8144199766
636	0.8143572839
637	0.8142767399
638	0.8142001118
639	0.8140880652
640	0.8140020083
641	0.813877405
642	0.8137854986
643	0.8136941743
644	0.8136376911
645	0.813540281
646	0.813382135
647	0.8132585697
648	0.8131972067
649	0.8130709988
650	0.8129806194
651	0.8128500845
652	0.8127571576
653	0.8126964216
654	0.8125643596
655	0.8124909929
656	0.8123823451
657	0.8123127075
658	0.8122202536
659	0.8121705707
660	0.8121124321
661	0.812055704
662	0.8119548285
663	0.8118646444
664	0.8117957539
665	0.8116984572
666	0.8116342113
667	0.8115939919
668	0.8115101362
669	0.8114502535
670	0.8113208961
671	0.8112222152
672	0.8111639444
673	0.8110679998
674	0.8109551364
675	0.8108512809
676	0.8106542703
677	0.8106059655
678	0.8105643406
679	0.8104612904
680	0.810407106
681	0.8103565555
682	0.8102678231
683	0.8101597631
684	0.8100961699
685	0.8100355494
686	0.809965619
687	0.8099195102
688	0.8097878965
689	0.8096958401
690	0.8095668472
691	0.8094797285
692	0.809370982
693	0.8092730121
694	0.8091533704
695	0.8090755643
696	0.8089923519
697	0.808948084
698	0.8088112658
699	0.8087052322
700	0.8086635668
701	0.8085753309
702	0.8085343269
703	0.8083900748
704	0.8082929646
705	0.8082108145
706	0.8081539267
707	0.8081077032
708	0.8080227556
709	0.807936031
710	0.807870525
711	0.807815443
712	0.8077310413
713	0.8076412224
714	0.8074898591
715	0.8074454116
716	0.8073594877
717	0.8072895189
718	0.8071988144
719	0.8071383373
720	0.8070827714
721	0.8070380597
722	0.8068665743
723	0.8067778411
724	0.8066992283
725	0.8066113451
726	0.8065552707
727	0.8064995191
728	0.8064173717
729	0.806327445
730	0.8062716062
731	0.8062343095
732	0.806176933
733	0.8061330767
734	0.8060792434
735	0.8059833813
736	0.8059523311
737	0.8057854612
738	0.8057069246
739	0.8056247477
740	0.8055814379
741	0.8054560268
742	0.8053932385
743	0.8052976713
744	0.80526251
745	0.8051913307
746	0.8051181165
747	0.8050705011
748	0.8050065519
749	0.8049277484
750	0.8048659856
751	0.8047326474
752	0.8046546907
753	0.804571125
754	0.8045536633
755	0.8045178855
756	0.8044455306
757	0.8043887842
758	0.8043583817
759	0.8042823946
760	0.804192039
761	0.8041013372
762	0.8040218509
763	0.8039731103
764	0.8038963571
765	0.8038186256
766	0.803752249
767	0.8037119603
768	0.8036556559
769	0.8035757588
770	0.8035158466
771	0.8034119236
772	0.8033519048
773	0.8033148013
774	0.8032557017
775	0.8032259369
776	0.803123581
777	0.803033307
778	0.8029880358
779	0.8029368809
780	0.8028759355
781	0.8028433888
782	0.8027870092
783	0.8027333134
784	0.8026789185
785	0.8025288625
786	0.8024725879
787	0.8023724702
788	0.8023176981
789	0.8022590623
790	0.802213492
791	0.8021478612
792	0.8020373092
793	0.8019491506
794	0.8018263238
795	0.8017211428
796	0.8016881346
797	0.8015603347
798	0.8015164154
799	0.8014749535
800	0.801427638
801	0.8013493682
802	0.801255488
803	0.8011756088
804	0.8011230737
805	0.801075128
806	0.8010306007
807	0.8009423298
808	0.800830354
809	0.8007747257
810	0.8006382371
811	0.8005646571
812	0.800482032
813	0.8004294047
814	0.8003507999
815	0.800266684
816	0.8002025524
817	0.8001189397
818	0.8000534497
819	0.8000093106
820	0.7999792906
821	0.7998236318
822	0.7997674908
823	0.7997022905
824	0.7996393858
825	0.7995841052
826	0.7994890851
827	0.7993997639
828	0.7993455938
829	0.7992850377
830	0.7991351724
831	0.7990614983
832	0.7989757356
833	0.7988885934
834	0.7987846555
835	0.7986750941
836	0.7986279751
837	0.7985429344
838	0.7985125744
839	0.7984710144
840	0.7984068565
841	0.7983447198
842	0.7983060832
843	0.7982491535
844	0.7981843599
845	0.7981266471
846	0.7980962202
847	0.7979404879
848	0.7978361842
849	0.7977537271
850	0.797674601
851	0.7976297151
852	0.7975961978
853	0.7975205342
854	0.7974682625
855	0.7974265671
856	0.7973622022
857	0.79728666
858	0.7972133178
859	0.7971914251
860	0.7971267851
861	0.7970544293
862	0.7969942363
863	0.7969070577
864	0.7968451647
865	0.796736363
866	0.7966971994
867	0.7966594001
868	0.7965988881
869	0.7965455443
870	0.7964586744
871	0.7964044838
872	0.7963358296
873	0.7962416941
874	0.7961972418
875	0.7960330395
876	0.7959763846
877	0.7959394191
878	0.7958722583
879	0.7958159369
880	0.7957677293
881	0.7957415656
882	0.7956796926
883	0.7956405788
884	0.7955725463
885	0.7954939909
886	0.7954620129
887	0.7954030466
888	0.7953631583
889	0.7952477539
890	0.7951984886
891	0.795146247
892	0.7950470818
893	0.7950004241
894	0.7948853946
895	0.7948558655
896	0.7948186295
897	0.7947797536
898	0.7947396858
899	0.794680481
900	0.7946044383
901	0.7945294547
902	0.7944733236
903	0.7944009611
904	0.7943591051
905	0.7943204273
906	0.7943032604
907	0.7942641056
908	0.7941638837
909	0.7941030145
910	0.7940487689
911	0.7940122287
912	0.7939627147
913	0.7939103762
914	0.7938018108
915	0.7937206248
916	0.7936494545
917	0.7936228399
918	0.7935449237
919	0.7934679826
920	0.7933913187
921	0.7933667834
922	0.7933046586
923	0.7932363569
924	0.7931293982
925	0.7930631295
926	0.7929951034
927	0.7929322946
928	0.7928423611
929	0.7928071523
930	0.7927261739
931	0.7926483298
932	0.7925468971
933	0.7924928036
934	0.7924316779
935	0.79240048
936	0.7923390418
937	0.792284763
938	0.7922364126
939	0.792078276
940	0.7920183029
941	0.7919693974
942	0.7919210869
943	0.7918677475
944	0.7918216451
945	0.791750724
946	0.7917004441
947	0.791588861
948	0.7915071821
949	0.7914511214
950	0.791361645
951	0.791297449
952	0.7912148729
953	0.7911790658
954	0.7911305955
955	0.7911084372
956	0.7910732759
957	0.7909589986
958	0.7909091554
959	0.7908214052
960	0.7907736528
961	0.7907350484
962	0.7906959951
963	0.7905976426
964	0.7904894415
965	0.7903898379
966	0.7903525107
967	0.790312622
968	0.7902597851
969	0.790133188
970	0.7900921638
971	0.7900049841
972	0.7899414948
973	0.7898793987
974	0.7898189936
975	0.7897613899
976	0.7897330468
977	0.7895892828
978	0.7895381831
979	0.7894788684
980	0.7894238151
981	0.7893634744
982	0.7893295589
983	0.7892830443
984	0.7892105315
985	0.789138472
986	0.789093818
987	0.7890104267
988	0.788966098
989	0.7888853058
990	0.7888288179
991	0.7887158974
992	0.7886762393
993	0.7885913608
994	0.7885542365
995	0.788514541
996	0.7884708358
997	0.7884180826
998	0.7883794575
999	0.7883048023
